kind,code,base_price
material,plytki_podlogowe,49.1667
material,plytki_scienne,57.5000
material,klej_c2,1.0435
material,fuga,6.9565
material,grunt,10.4348
material,hydroizolacja,15.6522
material,wylewka,1.2174
material,krzyzyki,3.9130
material,silikon,13.9130
material,listwa,24.3478
material,tasma,6.5217
material,folia,3.0435
material,zaprawa,1.5652
material,grunt_malarski,5.2174
material,farba_lateksowa,13.0435
material,folia_malarska,1.3043
material,panele_podlogowe,39.1304
material,podklad_paneli,5.6522
material,listwy_przypodlogowe,13.9130
work,prep,21.7391
work,hydro,39.1304
work,tile_floor,78.2609
work,tile_wall,95.6522
work,grout,30.4348
work,paint_prep,10.4348
work,paint_finish,17.3913
work,laminate_prep,6.9565
work,laminate_lay,24.3478
work,laminate_skirt,12.1739
